codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
171870,202512,336,235632.0,703.38
171875,202512,918,631493.0,696.24
171880,202512,964,702540.0,733.34
171884,202512,622,436346.0,702.65
171886,202512,610,431897.0,710.36
171888,202512,245,162446.0,665.76
171889,202512,175,115446.0,663.48
171890,202512,604,437319.0,730.08
171900,202512,277,214378.0,785.27
172000,202512,199,127875.0,645.83
172010,202512,979,698359.0,715.53
172015,202512,185,118885.0,642.62
172020,202512,1975,1381617.0,699.91
172025,202512,330,227039.0,690.09
172030,202512,713,498704.0,701.41
172049,202512,569,391783.0,689.76
172065,202512,740,534014.0,722.62
172080,202512,1390,988946.0,713.53
172085,202512,115,77086.0,670.31
172090,202512,2411,1632492.0,679.64
172093,202512,206,140248.0,684.14
172097,202512,190,125097.0,683.59
172100,202512,16433,11451909.0,701.28
172110,202512,1317,1027279.0,781.2
172120,202512,2867,2017638.0,712.95
172125,202512,189,136042.0,727.5
172130,202512,145,93445.0,644.45
172208,202512,1361,945866.0,698.57
172210,202512,1589,1118494.0,726.77
210005,202512,11090,7738687.0,700.65
210010,202512,1795,1346518.0,751.82
210015,202512,2598,1841627.0,711.88
210020,202512,5840,3922810.0,675.65
210030,202512,3984,2928425.0,735.97
210040,202512,1678,1155766.0,691.66
210043,202512,4225,3051333.0,723.92
210047,202512,5034,3654867.0,728.64
210050,202512,1806,1302851.0,724.61
210055,202512,1591,1144517.0,722.09
210060,202512,5856,4608494.0,791.84
210070,202512,6135,4167573.0,680.31
210080,202512,3827,2760499.0,725.3
210083,202512,4936,3429334.0,696.59
210087,202512,2155,1541396.0,716.93
210090,202512,7849,5547378.0,709.84
210095,202512,4668,3605011.0,777.78
210100,202512,4860,3394367.0,703.79
210110,202512,3109,2122444.0,683.78
210120,202512,16759,11510100.0,689.31
210125,202512,3392,2359961.0,696.77
210130,202512,3165,2224855.0,704.96
210135,202512,1324,910049.0,689.43
210140,202512,11995,8403165.0,703.96
210150,202512,3657,2507952.0,687.11
210160,202512,13760,9612670.0,699.56
210170,202512,13287,9586611.0,728.58
210173,202512,2038,1622351.0,796.83
210177,202512,2551,1830813.0,723.36
